sampleid	samplingdate	ST
ERR10663173	2022-08-02	ST147
ERR10663174	2022-08-01	ST307
ERR10663175	2022-08-01	ST2096
ERR10663176	2022-08-06	ST147
ERR10663177	2022-07-26	ST147
ERR10663178	2022-07-29	ST874
ERR10663179	2022-08-03	ST15
ERR10663180	2022-08-05	ST307
ERR10663181	2022-08-03	ST147
ERR10663182	2022-06-30	ST147
ERR10663183	2022-06-25	ST874
ERR10663184	2022-06-22	ST395
ERR10663185	2022-08-05	ST147
ERR10663186	2022-07-11	ST23
ERR10663187	2022-07-14	ST147
ERR10663188	2022-07-13	ST147
ERR10663189	2022-07-13	ST147
ERR10663190	2022-07-20	ST147
ERR10663191	2022-07-08	ST147
ERR10663193	2022-08-03	ST307
ERR10663194	2022-08-09	ST874
ERR10663195	2022-07-26	ST307
ERR10663196	2022-08-15	ST147
ERR10663197	2022-06-26	ST147
ERR10663198	2022-08-15	ST11
ERR10663199	2022-08-18	ST307
ERR10663201	2022-09-06	ST147
ERR10663202	2022-09-08	ST147
ERR10663203	2022-04-26	ST147
ERR10663204	2022-05-02	ST147
ERR10663205	2022-05-06	ST147
ERR10663206	2022-04-24	ST15
ERR10663207	2022-05-10	ST307
ERR10663208	2022-05-06	ST11
ERR10663209	2022-05-07	ST147
ERR10663210	2022-05-11	ST23
ERR10663211	2022-05-10	ST395
ERR10663212	2022-04-06	ST395
ERR10663213	2022-05-11	ST11
ERR10663214	2022-05-19	ST307
ERR10663215	2022-05-12	ST147
ERR10663217	2022-05-31	ST307
ERR10663218	2022-06-02	ST147
ERR10663219	2022-06-03	ST307
ERR10663220	2022-05-24	ST307
ERR10663221	2022-05-10	ST307
ERR10663222	2022-06-03	ST147
ERR10663223	2022-06-07	ST147
ERR10663224	2022-06-08	ST432
ERR10663225	2022-06-10	ST147
ERR10663226	2022-06-13	ST147
ERR10663227	2022-06-11	ST147
ERR10663228	2022-06-14	ST395
ERR10663229	2022-06-13	ST15
ERR10663230	2022-06-14	ST395
ERR10663231	2022-03-24	ST39
ERR10663232	2022-04-07	ST147
ERR10663233	2022-04-08	ST395
ERR10663234	2022-06-15	ST147
ERR10663235	2022-04-23	ST395
ERR10663236	2022-04-29	ST20
ERR10663237	2022-06-20	ST11
ERR10663238	2022-06-23	ST147
ERR10663239	2022-05-12	ST147
ERR10663240	2022-06-20	ST307
ERR10663241	2022-06-14	ST23
ERR10663242	2022-06-25	ST147
ERR10663243	2022-06-30	ST307
ERR10663244	2022-06-10	ST147
ERR10663246	2022-08-06	ST101
ERR10663247	2021-11-22	ST147
ERR10663248	2021-12-17	ST147
ERR10663249	2022-01-06	ST2442
ERR10663250	2022-01-19	ST395
ERR10663251	2022-01-10	ST15
ERR10663252	2022-01-31	ST35
ERR10663253	2022-01-28	ST11
ERR10663254	2022-02-03	ST376
ERR10663255	2022-02-14	ST307
ERR10663256	2022-02-18	ST147
ERR10663257	2022-03-07	ST11
ERR10663258	2022-03-09	ST392
ERR10663259	2022-03-09	ST395
ERR10663260	2022-03-20	ST896
ERR10663261	2022-03-21	ST395
ERR10663262	2022-03-23	ST147
ERR10663263	2022-01-05	ST147
ERR10663264	2022-01-25	ST147
ERR10663265	2022-03-25	ST307
ERR10663266	2022-04-05	ST395
ERR10663267	2022-04-06	ST147
ERR10663268	2022-04-08	ST147
ERR10663269	2022-04-09	ST2096
ERR10663270	2022-04-20	ST23
ERR10663271	2022-04-28	ST395
ERR10663272	2022-04-28	ST307
ERR10663274	2022-08-23	ST307-1LV
ERR10663276	2022-08-28	ST147
ERR10663277	2022-09-01	ST307
ERR10663278	2022-09-01	ST147
ERR10663279	2022-08-30	ST307
ERR10663280	2022-07-27	ST147
ERR10663281	2022-09-02	ST11
ERR10663282	2022-08-16	ST147
ERR10663283	2022-08-26	ST307
ERR10663284	2022-07-05	ST2497-1LV
ERR10663285	2021-12-18	ST11
ERR10663286	2021-12-29	ST11
ERR10663287	2022-04-02	ST395
ERR10663288	2022-04-21	ST15
ERR10663289	2022-04-23	ST395
ERR10663290	2022-05-06	ST147
ERR10663291	2022-05-06	ST23
ERR10663292	2022-05-08	ST147
ERR10663293	2022-05-08	ST147
ERR10663294	2022-01-21	ST15
ERR10663295	2021-12-16	ST395
ERR10663296	2022-03-25	ST15
ERR10663297	2022-04-05	ST147
ERR10663298	2022-01-18	ST395
ERR10663299	2022-02-01	ST11
ERR10663300	2022-05-08	ST147
ERR10663302	2022-05-10	ST147
ERR10663303	2022-05-08	ST23
ERR10663304	2022-05-12	ST147
ERR10663305	2022-05-14	ST23
ERR10663306	2022-05-14	ST147
ERR10663307	2022-05-19	ST147
ERR10663308	2022-05-19	ST395
ERR10663309	2022-05-21	ST395
ERR10663310	2022-05-23	ST147
ERR10663311	2022-05-26	ST147
ERR10663312	2022-05-12	ST147
ERR10663313	2022-05-27	ST147
ERR10663314	2022-05-24	ST377
ERR10663315	2022-06-02	ST147
ERR10663316	2022-06-02	ST147
ERR10663317	2022-06-02	ST147
ERR10663318	2022-06-01	ST23
ERR10663319	2022-06-04	ST395
ERR10663320	2022-05-26	ST147
ERR10663321	2022-06-09	ST147
ERR10663322	2022-06-14	ST147
ERR10663323	2022-06-15	ST147
ERR10663324	2022-06-16	ST147
ERR10663325	2022-06-23	ST395
ERR10663326	2022-06-18	ST23
ERR10663327	2022-06-29	ST147
ERR10663328	2022-07-01	ST147
ERR10663329	2022-05-26	ST395
ERR10663330	2022-05-31	ST395
ERR10663331	2022-05-26	ST147
ERR10663332	2022-06-02	ST147
ERR10663334	2022-06-24	ST147
ERR10663335	2022-07-13	ST147
ERR10663336	2022-07-15	ST147
ERR10663337	2022-07-18	ST14
ERR10663338	2022-07-22	ST147
ERR10663339	2022-07-27	ST395
ERR10663340	2022-08-04	ST147
ERR10663341	2022-07-16	ST23
ERR10663342	2022-08-04	ST147
ERR10663343	2022-08-18	ST147
ERR10663344	2022-09-16	ST147
ERR10663345	2022-08-26	ST23
ERR10663346	2022-08-24	ST147
ERR10663347	2022-08-24	ST23
ERR10663348	2022-02-17	ST383
ERR10663349	2022-06-02	ST147
ERR10663350	2022-06-09	ST395
ERR10691939	2022-10-08	ST395
ERR10691940	2022-10-12	ST395
ERR10691941	2022-10-24	ST395
ERR10691942	2022-10-27	ST395
ERR10691943	2022-08-29	ST147
ERR10691944	2022-08-22	ST395
ERR10691945	2022-08-22	ST147
ERR10691949	2022-10-20	ST395
ERR10691951	2022-10-10	ST395
ERR10691957	2022-05-12	ST147
ERR10691960	2022-06-16	ST11
ERR10691961	2022-04-11	ST874
ERR1740512	2015-08-19	ST15
ERR1740513	2015-10-29	ST15
ERR1740514	2015-11-09	ST405
ERR1740515	2015-11-09	ST405
ERR1740516	2015-11-09	ST405
ERR1740517	2015-11-11	ST405
ERR1740518	2015-12-18	ST405
ERR1740519	2015-07-07	ST15
ERR1740520	2015-07-17	ST2382
ERR1740521	2015-06-27	ST15
ERR1740522	2015-06-26	ST15
ERR1740523	2016-02-01	ST405
ERR1740524	2015-12-18	ST15
ERR1740525	2016-01-11	ST29
ERR1740526	2016-02-10	ST15
ERR1740527	2016-03-09	ST405
ERR1740529	2016-04-07	ST14
ERR1740534	2015-09-15	ST15
ERR1740535	2015-06-12	ST15
ERR1740536	2015-06-18	ST15
ERR1740538	2015-06-19	ST37
ERR1740539	2015-06-12	ST15
ERR1740540	2015-09-08	ST15
ERR1740541	2015-06-12	ST15
ERR1740542	2015-09-10	ST15
ERR1740544	2015-07-21	ST15-1LV
ERR1740546	2015-09-14	ST15
ERR1740548	2015-09-22	ST15
ERR1740549	2015-09-23	ST15
ERR1740550	2015-09-29	ST15
ERR1740551	2015-09-29	ST15
ERR1740553	2015-09-29	ST15
ERR1740554	2015-10-06	ST15
ERR1740555	2015-10-13	ST15
ERR1740556	2015-10-13	ST15
ERR1740557	2016-06-04	ST15
ERR1740558	2015-07-09	ST15
ERR1740559	2015-06-18	ST15
ERR1740560	2015-06-04	ST15
ERR1740561	2015-08-27	ST48
ERR1740562	2015-11-14	ST15
ERR1740563	2015-07-02	ST15
ERR1740564	2015-06-13	ST101
ERR2704615	2015-11-07	ST147
ERR2704616	2016-04-22	ST147
ERR2704617	2016-05-25	ST147
ERR2796902	2015-08-13	ST512
ERR2796911	2016-12-15	ST231
ERR2796926	2016-11-21	ST101
ERR2796957	2015-08-19	ST258
ERR2796976	2016-09-27	ST307
ERR2796989	2016-07-12	ST258
ERR3063426	2017-12-13	ST437
ERR3063432	2015-09-04	ST437
ERR3063436	2015-01-26	ST11
ERR3063439	2015-09-03	ST101
ERR3063440	2015-01-28	ST437
ERR3063441	2015-03-31	ST437
ERR3063442	2015-10-08	ST437
ERR3063443	2017-01-28	ST437
ERR3063444	2015-03-17	ST147
ERR3063445	2015-05-19	ST340
ERR3063465	2015-04-09	ST437
ERR3063466	2015-04-09	ST437
ERR3063467	2015-01-18	ST147
ERR3063468	2015-12-22	ST437
ERR3063469	2016-01-15	ST101
ERR3063470	2016-01-26	ST437
ERR3063471	2016-03-03	ST147
ERR3063472	2016-08-03	ST101
ERR3063473	2016-03-16	ST13
ERR3063474	2016-03-18	ST11
ERR3063475	2016-04-13	ST437
ERR3063476	2016-04-15	ST11
ERR3063477	2016-04-19	ST101
ERR3063478	2016-04-20	ST147
ERR3063479	2016-04-16	ST13
ERR3063480	2016-05-05	ST11
ERR3063481	2016-05-13	ST101
ERR3081537	2016-05-17	ST101
ERR3081538	2016-05-19	ST147
ERR3081539	2016-05-19	ST147
ERR3081540	2016-05-19	ST147
ERR3081541	2016-04-20	ST437
ERR3081542	2016-09-06	ST101
ERR3081543	2016-07-27	ST101
ERR3081544	2016-07-27	ST437
ERR3081545	2016-07-27	ST437
ERR3081546	2016-07-27	ST437
ERR3081548	2016-07-27	ST437
ERR3081549	2016-07-27	ST437
ERR3081550	2016-07-27	ST437
ERR3081551	2016-08-23	ST101
ERR3081552	2016-08-23	ST101
ERR3081553	2016-08-23	ST101
ERR3081554	2016-08-23	ST101
ERR3081555	2016-08-23	ST147
ERR3081556	2016-09-02	ST147
ERR3081557	2016-09-06	ST437
ERR3515840	2015-11-26	ST15
ERR3515841	2017-06-20	ST307
ERR3515842	2016-11-18	ST307
ERR3515843	2016-11-22	ST307
ERR3515844	2016-12-02	ST307
ERR3515845	2017-01-04	ST307
ERR3515846	2017-02-10	ST307
ERR3515847	2017-06-20	ST307
ERR3515848	2017-07-26	ST307
ERR3515849	2017-08-07	ST307
ERR3515850	2017-08-10	ST307
ERR3515851	2017-10-04	ST307
ERR3515852	2016-10-04	ST37-1LV
ERR3515853	2016-12-12	ST37
ERR3515854	2017-02-19	ST37
ERR3515855	2017-03-06	ST37
ERR3515856	2016-09-01	ST39
ERR3515857	2016-09-29	ST39
ERR3515858	2016-09-20	ST39
ERR3515859	2016-10-04	ST39
ERR3515860	2017-01-06	ST39
ERR3515861	2017-07-31	ST39
ERR3515862	2017-08-28	ST39
ERR4421721	2019-08-23	ST307
ERR4421722	2019-09-14	ST307
ERR4421723	2019-09-15	ST307
ERR4421728	2019-09-16	ST307
ERR4421729	2019-09-18	ST307
ERR4421730	2019-09-18	ST307
ERR4421731	2019-06-12	ST395
ERR4422296	2019-06-25	ST307
ERR4422341	2019-07-24	ST307
ERR4422342	2019-08-01	ST307
ERR4422343	2019-08-02	ST307
ERR4422344	2019-08-05	ST307
ERR4422345	2019-08-09	ST307
ERR4422346	2019-08-20	ST307
ERR4422521	2019-08-31	ST395
ERR4422522	2019-09-05	ST11
ERR4422524	2019-09-20	ST307
ERR4422699	2019-09-19	ST307
ERR4422701	2019-09-25	ST307
ERR4422702	2019-09-25	ST307
ERR4422703	2019-09-24	ST307
ERR4422704	2019-09-23	ST307
ERR4422710	2019-09-23	ST307
ERR4422715	2019-09-21	ST307
ERR4422721	2019-09-20	ST307
ERR4422724	2019-09-19	ST307
ERR4422727	2019-09-25	ST405
ERR4422730	2019-09-25	ST307
ERR4422741	2019-11-03	ST307
ERR4423045	2019-10-24	ST307
ERR4423051	2019-10-23	ST307
ERR4423453	2019-10-21	ST307
ERR4423460	2019-10-16	ST307
ERR4423472	2019-10-06	ST307
ERR4423791	2019-10-04	ST307
ERR4423792	2019-10-02	ST307
ERR4423793	2019-10-01	ST307
ERR4424742	2019-10-01	ST307
ERR4424750	2019-07-05	ST11
ERR4424751	2019-10-02	ST147
ERR4424776	2019-09-04	ST307
ERR4425077	2019-08-12	ST307
ERR4425078	2019-11-03	ST307
ERR4425079	2019-10-24	ST307
ERR4425081	2019-09-13	ST307
ERR4425350	2019-08-24	ST395
ERR4425351	2019-09-18	ST307
ERR4425352	2019-08-26	ST307
ERR4425353	2019-12-09	ST307
ERR4425354	2019-12-16	ST307
ERR4425355	2019-12-16	ST11
ERR4425357	2020-01-08	ST307
ERR4549795	2019-08-05	ST17
ERR4549796	2019-08-05	ST983
ERR4549797	2019-08-05	ST37
ERR4549799	2019-08-05	ST983
ERR4549800	2019-08-05	ST105
ERR4549801	2019-08-05	ST17
ERR4549803	2019-08-05	ST983
ERR4549806	2019-08-05	ST983
ERR4549809	2019-08-05	ST200
ERR4549810	2019-08-05	ST193
ERR4549812	2019-08-05	ST253
ERR4549813	2019-08-05	ST5218
ERR4549815	2019-08-05	ST584
ERR4549818	2019-08-06	ST13
ERR4549833	2019-08-06	ST20
ERR4549834	2019-08-06	ST3623-1LV
ERR4549837	2019-08-06	ST584
ERR4549838	2019-08-06	ST5008-1LV
ERR4549839	2019-08-06	ST556
ERR4549848	2019-08-07	ST1536
ERR4549850	2019-08-07	ST5508
ERR4549851	2019-08-07	ST54
ERR4549852	2019-08-07	ST461
ERR4549853	2019-08-07	ST10
ERR4549854	2019-08-07	ST611
ERR4549855	2019-08-07	ST20
ERR4549858	2019-08-07	ST252
ERR4549859	2019-08-07	ST2093-1LV
ERR4549860	2019-08-08	ST983
ERR4549861	2019-08-08	ST983
ERR4549862	2019-08-08	ST2791
ERR4549863	2019-08-08	ST983
ERR4549870	2019-08-09	ST1454
ERR4549871	2019-08-10	ST14
ERR4549872	2019-08-11	ST35
ERR4549877	2019-08-15	ST14
ERR4596859	2016-01-22	ST35
ERR4596860	2016-02-16	ST307
ERR4596861	2016-02-25	ST17
ERR4596862	2016-02-25	ST35
ERR4596863	2016-03-22	ST2279
ERR4596864	2016-03-31	ST17
ERR4702618	2019-01-01	ST29-1LV
ERR4702619	2019-01-01	ST29-1LV
ERR4702620	2019-01-01	ST29-1LV
ERR4702621	2019-01-01	ST391
ERR4702622	2019-01-01	ST391
ERR4702623	2019-01-01	ST391
ERR4702624	2019-01-01	ST432
ERR4702625	2019-01-01	ST432
ERR4702626	2019-01-01	ST432
ERR4702628	2019-01-01	ST17
ERR4702629	2019-01-01	ST17
ERR5432174	2017-01-01	ST258
ERR5432268	2018-01-01	ST258
ERR5432269	2018-01-01	ST258
ERR5432270	2018-01-01	ST258
ERR5432271	2018-01-01	ST258
ERR5432272	2018-01-01	ST258
ERR5432273	2018-01-01	ST258
ERR5432275	2018-01-01	ST258
ERR5432278	2018-01-01	ST258
ERR5432283	2018-01-01	ST258
ERR5432285	2018-01-01	ST20
ERR5432290	2018-01-01	ST405
ERR5432304	2018-01-01	ST159
ERR5432311	2018-01-01	ST395
ERR5432317	2018-01-01	ST1079
ERR5432342	2018-01-01	ST258
ERR5432343	2018-01-01	ST101
ERR5432344	2018-01-01	ST258
ERR5432346	2018-01-01	ST258
ERR5432347	2018-01-01	ST13
ERR5432396	2019-01-01	ST383
ERR5432408	2019-01-01	ST1630
ERR5432409	2019-01-01	ST307
ERR5432417	2019-01-01	ST307
ERR5432422	2019-01-01	ST1630
ERR5432423	2019-01-01	ST584
ERR5432427	2019-01-01	ST1322
ERR5432441	2019-01-01	ST307
ERR5432457	2019-01-01	ST219
ERR5432458	2019-01-01	ST16
ERR5432494	2019-01-01	ST1322
ERR5432495	2019-01-01	ST792
ERR5432496	2019-01-01	ST792
ERR5432540	2019-01-01	ST14
ERR5432541	2019-01-01	ST253
ERR5432558	2019-01-01	ST14
ERR5432565	2019-01-01	ST37-1LV
ERR5432566	2019-01-01	ST253
ERR5432568	2019-01-01	ST788
ERR5432573	2019-01-01	ST870
ERR5442390	2020-01-01	ST133
ERR5442398	2020-01-01	ST147
ERR5442405	2020-01-01	ST487
ERR5442411	2020-01-01	ST147
ERR5442424	2020-01-01	ST133
ERR5442425	2020-01-01	ST1090
ERR5442427	2020-01-01	ST4322
ERR5442428	2020-01-01	ST353
ERR5442429	2020-01-01	ST353
ERR5442449	2020-01-01	ST353
ERR5442450	2020-01-01	ST353
ERR5442453	2020-01-01	ST628-1LV
ERR5442459	2020-01-01	ST252
