sampleid	samplingdate	ST
SH220420x1x14	2020-01-31	477
SH220420x1x16	2020-01-31	1
SH220420x1x18	2020-01-31	3
SH220420x1x15	2020-02-01	304
SH220420x1x10	2020-02-01	-
SH171220x1x65	2020-02-01	2
SH220420x1x09	2020-02-01	400
SH250620x3x93	2020-02-01	6
SH220420x1x03	2020-02-02	-
SH220420x1x04	2020-02-02	26
SH220420x1x28	2020-02-03	506
SH220420x1x30	2020-02-03	506
SH220420x1x13	2020-02-03	1
SH220420x1x12	2020-02-03	66
SH220420x1x45xr2	2020-02-03	26
SH220420x1x45	2020-02-03	26
SH220420x1x43	2020-02-03	678
SH220420x1x31	2020-02-03	-
SH220420x1x27	2020-02-03	35
SH220420x1x24	2020-02-03	-
SH220420x1x25	2020-02-03	6
SH220420x1x17	2020-02-03	26
SH171220x1x68	2020-02-03	66
SH220420x1x20	2020-02-03	4
SH171220x1x67	2020-02-03	-
SH220420x1x21	2020-02-03	8
SH220420x1x42	2020-02-03	1
SH220420x1x07	2020-02-03	82
SH220420x1x06	2020-02-03	66
SH220420x1x05	2020-02-03	53
SH220420x1x23	2020-02-03	-
SH220420x1x41	2020-02-03	-
SH220420x1x22	2020-02-03	506
SH220420x1x47	2020-02-04	3
SH220420x1x46	2020-02-04	3
SH220420x1x44	2020-02-04	567
SH220420x1x51	2020-02-04	661
SH171220x1x88	2020-02-04	43
SH220420x1x39	2020-02-04	218
SH220420x1x19	2020-02-04	43
SH220420x1x26	2020-02-04	-
SH220420x1x29	2020-02-04	43
SH220420x1x40	2020-02-04	400
SH171220x2x63	2020-02-04	43
SH220420x1x32	2020-02-04	-
SH220420x1x36	2020-02-04	36
SH220420x1x38	2020-02-04	-
SH220420x1x50	2020-02-05	3
SH220420x1x52	2020-02-05	35
SH220420x1x35	2020-02-05	36
SH220420x1x37	2020-02-05	-
SH220420x1x49	2020-02-05	10
SH220420x1x34	2020-02-05	700
SH220420x1x48	2020-02-06	700
SH220420x1x54	2020-02-06	31
SH220420x1x55	2020-02-06	-
SH171220x1x69	2020-02-06	61
SH220420x1x58	2020-02-06	-
SH220420x1x71	2020-02-07	53
SH220420x1x59	2020-02-07	-
SH171220x1x70	2020-02-07	-
SH220420x1x53	2020-02-07	-
SH220420x1x56xr2	2020-02-08	2
SH220420x1x73	2020-02-08	1
SH220420x1x56	2020-02-08	2
SH220420x1x62	2020-02-08	43
SH171220x2x95	2020-02-09	494
SH220420x1x65	2020-02-09	4
SH220420x1x57	2020-02-09	14
SH220420x1x66	2020-02-09	400
SH220420x1x68	2020-02-09	44
SH220420x1x67	2020-02-10	-
SH220420x1x69	2020-02-10	53
SH171220x2x16	2020-02-10	26
SH220420x1x64	2020-02-10	35
SH220420x1x63	2020-02-10	-
SH220420x1x70	2020-02-10	728
SH220420x1x61	2020-02-10	53
SH220420x1x60	2020-02-10	400
SH220420x1x78	2020-02-10	-
SH220420x1x72	2020-02-10	53
SH220420x1x74	2020-02-10	43
SH171220x2x96	2020-02-10	466
SH220420x1x75	2020-02-11	4
SH220420x1x89	2020-02-11	53
SH220420x1x79	2020-02-11	1
SH171220x2x74	2020-02-11	4
SH220420x1x85	2020-02-11	-
SH020221x2x51	2020-02-12	-
SH220420x1x76	2020-02-12	-
SH220420x1x86	2020-02-12	9
SH220420x1x77	2020-02-12	43
SH220420x1x83	2020-02-12	-
SH220420x1x82	2020-02-12	2
SH220420x1x81	2020-02-12	4
SH220420x1x80	2020-02-12	829
SH220420x1x84	2020-02-12	650
SH220420x1x87	2020-02-13	-
SH220420x1x94	2020-02-13	666
SH171220x2x10	2020-02-13	-
SH171220x2x09	2020-02-13	29
SH220420x1x88	2020-02-13	53
SH220420x1x91	2020-02-14	46
SH220420x1x93	2020-02-14	490
SH220420x1x96	2020-02-14	26
SH220420x2x02	2020-02-14	725
SH171220x2x07	2020-02-14	33
SH171220x2x44	2020-02-14	43
SH171220x2x08	2020-02-14	4
SH220420x2x95	2020-02-14	3
SH171220x2x42	2020-02-14	35
SH220420x1x95	2020-02-15	43
SH220420x2x06	2020-02-15	678
SH220420x2x09	2020-02-15	745
SH171220x2x11	2020-02-15	-
SH220420x2x96	2020-02-15	455
SH171220x2x43	2020-02-15	3
SH220420x1x92	2020-02-15	2
SH220420x2x01	2020-02-16	-
SH220420x2x05	2020-02-16	221
SH220420x2x08	2020-02-16	-
SH020221x2x53	2020-02-16	404
SH220420x2x07	2020-02-16	8
SH220420x2x04	2020-02-16	658
SH220420x2x11	2020-02-17	53
SH220420x2x11xr2	2020-02-17	53
SH220420x2x13	2020-02-17	963
SH220420x2x16	2020-02-17	221
SH171220x2x45	2020-02-17	-
SH171220x2x75	2020-02-17	-
SH220420x2x03	2020-02-17	-
SH171220x2x12	2020-02-18	3
SH220420x2x23	2020-02-18	6
SH220420x2x10	2020-02-18	-
SH220420x2x19	2020-02-18	-
SH220420x2x12	2020-02-18	4
SH220420x2x18	2020-02-18	1
SH220420x2x14	2020-02-18	73
SH220420x2x15	2020-02-18	404
SH220420x2x25	2020-02-19	632
SH220420x2x20	2020-02-19	10
SH220420x2x17	2020-02-19	53
SH171220x2x76	2020-02-19	43
SH171220x2x46	2020-02-19	2
SH220420x2x21	2020-02-20	43
SH220420x2x22	2020-02-20	-
SH220420x2x30	2020-02-20	740
SH220420x2x24	2020-02-20	732
SH220420x2x26	2020-02-20	2
SH220420x2x46	2020-02-21	-
SH220420x2x35	2020-02-21	2
SH220420x2x27	2020-02-21	2
SH220420x2x32	2020-02-21	6
SH220420x2x29	2020-02-21	-
SH220420x2x33	2020-02-21	732
SH220420x2x31	2020-02-21	4
SH171220x2x78	2020-02-22	446
SH220420x2x57	2020-02-22	44
SH171220x2x13	2020-02-22	32
SH171220x2x77	2020-02-22	446
SH171220x2x47	2020-02-22	1
SH220420x2x34	2020-02-23	-
SH220420x2x36	2020-02-23	1
SH220420x2x49	2020-02-23	4
SH220420x2x48	2020-02-23	-
SH220420x2x28	2020-02-23	1
SH220420x2x51	2020-02-24	471
SH171220x2x48	2020-02-24	34
SH220420x2x41	2020-02-24	10
SH220420x2x40	2020-02-24	3
SH220420x2x39	2020-02-24	53
SH220420x2x38	2020-02-24	3
SH220420x2x37	2020-02-24	-
SH220420x2x43	2020-02-24	1
SH220420x2x52	2020-02-24	3
SH220420x2x53	2020-02-25	43
SH220420x2x42	2020-02-25	53
SH220420x2x45	2020-02-25	34
SH220420x2x47	2020-02-25	338
SH220420x2x73	2020-02-25	87
SH220420x2x70	2020-02-25	1
SH220420x2x55	2020-02-25	4
SH220420x2x58	2020-02-25	535
SH220420x2x84	2020-02-25	87
SH220420x2x61	2020-02-25	355
SH220420x2x69	2020-02-26	33
SH220420x2x68	2020-02-26	217
SH220420x2x65	2020-02-26	3
SH220420x2x67	2020-02-26	24
SH220420x2x63	2020-02-26	10
SH220420x2x54	2020-02-26	1
SH220420x2x56	2020-02-26	471
SH220420x2x50	2020-02-26	221
SH220420x2x60	2020-02-26	817
SH220420x2x59	2020-02-26	33
SH220420x2x66	2020-02-27	375
SH220420x2x71	2020-02-27	3
SH220420x2x72	2020-02-27	-
SH220420x2x64	2020-02-27	862
SH220420x2x76	2020-02-27	35
SH220420x2x77	2020-02-27	61
SH220420x2x78	2020-02-27	597
SH171220x2x79	2020-02-28	30
SH171220x2x14	2020-02-28	745
SH220420x2x92	2020-02-28	336
SH220420x2x89	2020-02-28	48
SH220420x2x83	2020-02-28	1
SH220420x2x88	2020-02-28	380
SH220420x2x81	2020-02-28	8
SH220420x2x74	2020-02-28	43
SH220420x2x80	2020-02-28	10
SH220420x2x79	2020-02-28	678
SH220420x2x75	2020-02-28	70
SH220420x2x82	2020-02-29	86
SH171220x2x15	2020-02-29	-
SH171220x2x50	2020-03-01	3
SH220420x2x90	2020-03-01	4
SH171220x2x49	2020-03-01	-
SH010920x1x02	2020-03-02	4
SH010920x1x03	2020-03-02	506
SH010920x1x08	2020-03-02	3
SH010920x1x10	2020-03-02	4
SH010920x1x13	2020-03-02	-
SH010920x1x01	2020-03-02	53
SH220420x2x85	2020-03-02	506
SH220420x2x86	2020-03-02	308
SH220420x2x87	2020-03-02	745
SH220420x2x91	2020-03-02	3
SH220420x2x94	2020-03-02	4
SH010920x1x04	2020-03-03	82
SH010920x1x05	2020-03-03	129
SH171220x2x83	2020-03-03	506
SH010920x1x06	2020-03-03	36
SH010920x1x15	2020-03-04	658
SH010920x1x09	2020-03-04	43
SH010920x1x07	2020-03-04	2
SH010920x1x14	2020-03-04	4
SH010920x1x16	2020-03-04	4
SH010920x1x24	2020-03-05	4
SH010920x1x17	2020-03-05	61
SH010920x1x12	2020-03-05	4
SH010920x1x19	2020-03-05	129
SH010920x1x23	2020-03-06	506
SH010920x1x18	2020-03-06	36
SH010920x1x25	2020-03-06	3
SH010920x1x20	2020-03-06	53
SH010920x1x21	2020-03-06	26
SH010920x1x22	2020-03-06	950
SH010920x1x29	2020-03-06	36
SH010920x1x30	2020-03-06	36
SH010920x1x34	2020-03-06	-
SH010920x1x26	2020-03-07	-
SH010920x1x27	2020-03-07	21
SH010920x1x28	2020-03-07	4
SH010920x1x31	2020-03-07	698
SH010920x1x39	2020-03-07	379
SH010920x1x35	2020-03-08	84
SH010920x1x36	2020-03-08	-
SH010920x1x38	2020-03-08	506
SH171220x2x84	2020-03-08	4
SH171220x2x85	2020-03-08	4
SH010920x1x41	2020-03-09	-
SH010920x1x32	2020-03-09	1
SH010920x1x37	2020-03-09	4
SH010920x1x42	2020-03-09	304
SH010920x1x40	2020-03-09	3
SH010920x1x43	2020-03-09	304
SH010920x1x44	2020-03-09	3
SH010920x1x58	2020-03-10	1
SH010920x2x01	2020-03-10	53
SH010920x1x45	2020-03-10	404
SH010920x1x47	2020-03-10	8
SH010920x1x33	2020-03-10	35
SH010920x1x49	2020-03-10	636
SH171220x2x86	2020-03-10	471
SH171220x2x88	2020-03-10	732
SH010920x1x69	2020-03-11	-
SH010920x1x48	2020-03-11	375
SH010920x1x50	2020-03-11	32
SH010920x1x51	2020-03-11	43
SH010920x1x53	2020-03-11	-
SH010920x1x57	2020-03-11	43
SH010920x1x55	2020-03-11	26
SH010920x1x56	2020-03-11	6
SH010920x1x80	2020-03-11	43
SH010920x1x52	2020-03-11	4
SH010920x1x59	2020-03-12	24
SH010920x1x54	2020-03-12	53
SH280420x1x06	2020-03-13	1
SH010920x1x72	2020-03-13	8
SH010920x1x61	2020-03-13	3
SH010920x1x62	2020-03-13	3
SH010920x1x63	2020-03-13	488
SH171220x2x87	2020-03-13	132
SH010920x1x68	2020-03-14	3
SH010920x1x65	2020-03-14	1088
SH010920x1x64	2020-03-14	4
SH010920x1x75	2020-03-14	494
SH010920x1x71	2020-03-15	8
SH010920x1x73	2020-03-15	-
SH010920x1x81	2020-03-15	1
SH010920x1x77	2020-03-15	336
SH010920x1x70	2020-03-16	39
SH010920x1x78	2020-03-16	506
SH010920x1x79	2020-03-16	404
SH010920x1x66	2020-03-16	-
SH171220x2x90	2020-03-16	4
SH010920x1x67	2020-03-16	-
SH010920x1x74	2020-03-16	400
SH010920x1x76	2020-03-17	33
SH171220x2x91	2020-03-17	-
SH010920x1x87	2020-03-17	956
SH010920x1x83	2020-03-17	35
SH010920x1x84	2020-03-17	53
SH171220x2x89	2020-03-17	8
SH010920x1x88	2020-03-18	3
SH010920x1x89	2020-03-18	6
SH010920x1x82	2020-03-18	3
SH010920x1x86	2020-03-18	53
SH010920x1x96	2020-03-18	22
SH171220x2x92	2020-03-18	48
SH010920x1x90	2020-03-18	490
SH010920x1x91	2020-03-19	30
SH010920x1x92	2020-03-19	-
SH010920x1x85	2020-03-19	70
SH010920x1x94	2020-03-19	3
SH280420x1x05	2020-03-19	404
SH010920x1x95	2020-03-19	4
SH010920x2x04	2020-03-20	2
SH171220x2x93	2020-03-20	10
SH010920x1x93	2020-03-20	-
SH280420x1x04	2020-03-21	4
SH010920x2x05	2020-03-22	-
SH010920x2x06	2020-03-22	400
SH280420x1x03	2020-03-22	-
SH280420x1x02	2020-03-22	-
SH280420x1x01	2020-03-22	506
SH010920x2x02	2020-03-22	-
SH280420x1x24	2020-03-23	-
SH010920x2x03	2020-03-23	379
SH171220x1x90	2020-03-23	-
SH280420x1x08	2020-03-23	21
SH280420x1x11	2020-03-23	77
SH280420x1x10	2020-03-23	36
SH280420x1x09	2020-03-23	3
SH280420x1x12	2020-03-24	3
SH280420x1x14	2020-03-24	-
SH280420x1x07	2020-03-24	-
SH280420x1x16	2020-03-24	649
SH280420x1x18	2020-03-24	1
SH280420x1x27	2020-03-25	36
SH280420x1x19	2020-03-25	-
SH280420x1x33	2020-03-25	-
SH280420x1x13	2020-03-25	3
SH280420x1x17	2020-03-25	33
SH280420x1x15	2020-03-25	43
SH171220x1x89	2020-03-25	-
SH280420x1x29	2020-03-26	1
SH280420x1x28	2020-03-26	53
SH280420x1x31	2020-03-26	-
SH280420x1x20	2020-03-26	-
SH280420x1x25	2020-03-26	132
SH171220x1x95	2020-03-26	375
SH280420x1x26	2020-03-27	3
SH280420x1x23	2020-03-27	1
SH280420x1x21	2020-03-27	3
SH280420x1x30	2020-03-27	43
SH280420x1x35	2020-03-27	3
SH280420x1x22	2020-03-28	8
SH280420x1x32	2020-03-28	4
SH280420x1x36	2020-03-28	221
SH280420x1x43	2020-03-29	404
SH280420x1x42	2020-03-29	404
SH280420x1x38	2020-03-29	506
SH280420x1x37	2020-03-29	368
SH280420x1x34	2020-03-29	3
SH280420x1x39	2020-03-30	32
SH280420x1x40	2020-03-30	10
SH171220x1x91	2020-03-30	3
SH280420x1x47	2020-03-31	3
SH280420x1x51	2020-03-31	3
SH280420x1x44	2020-04-01	43
SH280420x1x50	2020-04-01	-
SH280420x1x45	2020-04-02	-
SH171220x2x26	2020-04-02	3
SH280420x1x49	2020-04-02	6
SH280420x1x48	2020-04-03	323
SH280420x1x53	2020-04-03	53
SH280420x1x59	2020-04-03	-
SH280420x1x52	2020-04-03	400
SH280420x1x54	2020-04-04	-
SH280420x1x64	2020-04-06	129
SH280420x1x55	2020-04-06	874
SH280420x1x56	2020-04-06	506
SH280420x1x57	2020-04-06	3
SH280420x1x58	2020-04-06	815
SH280420x1x63	2020-04-06	3
SH280420x1x61	2020-04-07	71
SH171220x1x93	2020-04-07	4
SH280420x1x62	2020-04-07	24
SH280420x1x60	2020-04-08	26
SH280420x1x75	2020-04-08	-
SH280420x1x65	2020-04-08	3
SH280420x1x66	2020-04-08	10
SH171220x1x92	2020-04-08	-
SH010920x2x08	2020-04-09	-
SH280420x1x77	2020-04-09	-
SH280420x1x91	2020-04-09	2
SH280420x1x67	2020-04-09	-
SH280420x1x69	2020-04-09	4
SH280420x1x72	2020-04-09	27
SH280420x1x80	2020-04-09	2
SH171220x1x94	2020-04-10	61
SH280420x1x68	2020-04-10	-
SH280420x1x71	2020-04-10	658
SH280420x1x81	2020-04-10	10
SH280420x1x70	2020-04-11	6
SH280420x1x78	2020-04-11	4
SH280420x1x79	2020-04-11	1
SH280420x1x76	2020-04-12	27
SH280420x1x73	2020-04-12	-
SH280420x1x96	2020-04-13	506
SH280420x1x92	2020-04-13	-
SH031220x2x94	2020-04-13	632
SH280420x1x74	2020-04-13	254
SH280420x1x88	2020-04-13	506
SH280420x1x95	2020-04-13	1
SH010920x2x07	2020-04-13	53
SH280420x1x89	2020-04-13	53
SH010920x2x10	2020-04-14	6
SH280420x1x93	2020-04-14	375
SH280420x1x87	2020-04-14	4
SH280420x1x86	2020-04-14	-
SH280420x1x82	2020-04-14	43
SH280420x1x94	2020-04-14	682
SH280420x1x85	2020-04-14	1
SH280420x1x90	2020-04-15	620
SH010920x2x09	2020-04-15	-
SH280420x1x84	2020-04-15	10
SH280420x1x83	2020-04-15	-
SH171220x1x96	2020-04-15	-
SH010920x2x17	2020-04-16	3
SH010920x2x11	2020-04-16	1
SH010920x2x12	2020-04-16	-
SH010920x2x16	2020-04-17	-
SH010920x2x15	2020-04-17	43
SH010920x2x14	2020-04-17	1
SH010920x2x13	2020-04-17	-
SH281020x1x64	2020-04-17	-
SH010920x2x49	2020-04-17	8
SH010920x2x18	2020-04-17	48
SH171220x2x34	2020-04-18	19
SH010920x2x46	2020-04-18	43
SH010920x2x43	2020-04-18	455
SH010920x2x44	2020-04-18	-
SH171220x2x01	2020-04-19	1
SH010920x2x45	2020-04-19	24
SH010920x2x38	2020-04-19	24
SH010920x2x48	2020-04-19	14
SH010920x2x20	2020-04-19	506
SH010920x2x50	2020-04-20	-
SH010920x2x47	2020-04-20	-
SH171220x2x66	2020-04-20	2
SH281020x2x61	2020-04-21	-
SH281020x2x67	2020-04-21	4
SH281020x2x60	2020-04-21	455
SH171220x2x02	2020-04-21	3
SH281020x2x59	2020-04-21	566
SH281020x2x63	2020-04-21	722
SH281020x2x64	2020-04-21	400
SH281020x2x62	2020-04-21	-
SH281020x2x66	2020-04-22	4
SH281020x2x65	2020-04-22	885
SH281020x2x69	2020-04-22	129
SH010920x2x33	2020-04-22	-
SH281020x2x68	2020-04-22	2
SH010920x2x39	2020-04-22	43
SH010920x2x41	2020-04-23	53
SH010920x2x35	2020-04-23	6
SH010920x2x40	2020-04-23	-
SH010920x2x34	2020-04-23	809
SH010920x2x55	2020-04-24	53
SH010920x2x53	2020-04-24	26
SH010920x2x36	2020-04-24	-
SH010920x2x42	2020-04-25	4
SH010920x2x51	2020-04-25	53
SH010920x2x52	2020-04-26	53
SH171220x2x37	2020-04-26	-
SH171220x2x38	2020-04-26	-
SH010920x2x66	2020-04-27	4
SH010920x2x65	2020-04-27	2
SH010920x2x67	2020-04-27	3
SH010920x2x58	2020-04-27	404
SH010920x2x68	2020-04-27	6
SH010920x2x57	2020-04-27	4
SH010920x2x54	2020-04-27	-
SH010920x2x60	2020-04-28	-
SH010920x2x75	2020-04-28	963
SH010920x2x74	2020-04-28	61
SH010920x2x62	2020-04-28	3
SH010920x2x76	2020-04-28	2
SH010920x2x56	2020-04-28	3
SH010920x2x77	2020-04-29	3
SH010920x2x73	2020-04-29	-
SH010920x2x79	2020-04-29	86
SH171220x2x70	2020-04-29	87
SH010920x2x63	2020-04-29	3
SH010920x2x59	2020-04-29	36
SH010920x2x61	2020-04-29	3
SH010920x2x78	2020-04-30	8
SH010920x2x69	2020-04-30	26
SH010920x2x84	2020-04-30	43
SH171220x2x04	2020-04-30	3
SH010920x2x64	2020-04-30	4
SH010920x2x80	2020-04-30	21
SH010920x2x70	2020-05-01	-
SH010920x2x85	2020-05-01	455
SH010920x2x72	2020-05-01	4
SH010920x2x71	2020-05-01	404
SH010920x2x83	2020-05-01	-
SH010920x2x82	2020-05-02	3
SH010920x2x89	2020-05-02	4
SH010920x2x90	2020-05-02	3
SH010920x2x81	2020-05-02	29
SH010920x2x91	2020-05-03	-
SH010920x2x87	2020-05-04	-
SH010920x2x95	2020-05-04	4
SH010920x2x93	2020-05-04	3
SH010920x2x86	2020-05-04	53
SH010920x2x88	2020-05-04	53
SH010920x2x94	2020-05-05	-
SH090920x1x16	2020-05-05	519
SH010920x2x92	2020-05-05	53
SH090920x1x2	2020-05-05	-
SH010920x2x96	2020-05-05	35
SH171220x1x64	2020-05-05	-
SH090920x1x5	2020-05-06	3
SH090920x1x8	2020-05-06	43
SH171220x1x60	2020-05-06	-
SH090920x1x4	2020-05-06	400
SH171220x1x63	2020-05-06	2
SH090920x1x7	2020-05-07	3
SH090920x1x37	2020-05-07	8
SH171220x1x61	2020-05-07	36
SH090920x1x27	2020-05-07	-
SH090920x1x9	2020-05-07	4
SH090920x1x25	2020-05-07	963
SH090920x1x10	2020-05-07	53
SH090920x1x12	2020-05-07	66
SH090920x1x6	2020-05-07	355
SH090920x1x20	2020-05-08	1
SH090920x1x1	2020-05-08	10
SH090920x1x15	2020-05-08	4
SH090920x1x14	2020-05-08	43
SH090920x1x3	2020-05-09	43
SH090920x1x11	2020-05-09	4
SH090920x1x21	2020-05-09	-
SH090920x1x22	2020-05-09	-
SH090920x1x24	2020-05-09	28
SH281020x2x71	2020-05-09	-
SH281020x2x72	2020-05-09	3
SH171220x1x62	2020-05-09	33
SH090920x1x23	2020-05-10	22
SH090920x1x26	2020-05-10	24
SH281020x2x70	2020-05-10	24
SH090920x1x17	2020-05-10	-
SH090920x1x19	2020-05-10	43
SH090920x1x18	2020-05-10	1
SH281020x2x75	2020-05-11	3
SH090920x1x32	2020-05-11	506
SH090920x1x13	2020-05-11	53
SH090920x1x33	2020-05-12	4
SH281020x2x73	2020-05-12	908
SH090920x1x28	2020-05-12	43
SH281020x2x76	2020-05-12	218
SH090920x1x34	2020-05-12	53
SH090920x1x38	2020-05-12	649
SH090920x1x29	2020-05-13	53
SH090920x1x36	2020-05-13	1
SH090920x1x35	2020-05-13	745
SH090920x1x30	2020-05-13	355
SH090920x1x31	2020-05-13	-
SH090920x1x49	2020-05-14	757
SH090920x1x45	2020-05-14	33
SH090920x1x43	2020-05-14	506
SH090920x1x42	2020-05-14	-
SH090920x1x41	2020-05-14	399
SH090920x1x40	2020-05-14	4
SH090920x1x39	2020-05-14	400
SH090920x1x50	2020-05-14	6
SH090920x1x52	2020-05-15	3
SH090920x1x51	2020-05-15	3
SH090920x1x46	2020-05-15	796
SH090920x1x48	2020-05-15	22
SH090920x1x57	2020-05-15	53
SH090920x1x44	2020-05-15	-
SH090920x1x47	2020-05-16	791
SH090920x1x58	2020-05-16	375
SH090920x1x60	2020-05-16	692
SH090920x1x61	2020-05-16	692
SH090920x1x81	2020-05-17	51
SH090920x1x63	2020-05-17	33
SH090920x1x56	2020-05-17	43
SH090920x1x82	2020-05-17	1
SH090920x1x75	2020-05-18	53
SH090920x1x55	2020-05-18	10
SH090920x1x54	2020-05-18	-
SH090920x1x80	2020-05-18	4
SH090920x1x77	2020-05-18	-
SH090920x1x53	2020-05-18	-
SH171220x1x78	2020-05-18	4
SH090920x1x76	2020-05-19	4
SH090920x1x79	2020-05-19	-
SH090920x1x78	2020-05-19	4
SH090920x1x74	2020-05-19	21
SH090920x1x62	2020-05-19	10
SH090920x1x86	2020-05-19	1
SH090920x1x59	2020-05-19	21
SH090920x1x65	2020-05-19	-
SH090920x1x66	2020-05-19	30
SH090920x1x73	2020-05-19	53
SH090920x1x87	2020-05-20	43
SH090920x1x64	2020-05-20	745
SH090920x1x72	2020-05-20	-
SH090920x1x70	2020-05-20	404
SH090920x1x69	2020-05-20	3
SH090920x1x88	2020-05-21	304
SH090920x1x68	2020-05-21	8
SH090920x1x67	2020-05-21	3
SH090920x1x92	2020-05-21	-
SH090920x1x91	2020-05-21	33
SH171220x1x17	2020-05-21	400
SH090920x1x71	2020-05-21	221
SH090920x1x89	2020-05-21	53
SH171220x1x15	2020-05-21	8
SH090920x1x84xr2	2020-05-22	3
